,codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia2,codigo_ocorrencia3,codigo_ocorrencia4,ocorrencia_classificacao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista
0,40211,40211,40211,40211,40211,INCIDENTE,latitude not informed,longitude not informed,RIO DE JANEIRO,RJ,BRASIL,possible zulu group or uninformed aerodrome,2010-01-03,12:00:00,SIM,FINALIZADA,report number not informed,NÃO,2025-01-01,0,1,NÃO
1,40349,40349,40349,40349,40349,INCIDENTE,latitude not informed,longitude not informed,BELÉM,PA,BRASIL,SBBE,2010-01-03,11:05:00,SIM,FINALIZADA,report number not informed,NÃO,2025-01-01,0,1,NÃO
2,40351,40351,40351,40351,40351,INCIDENTE,latitude not informed,longitude not informed,RIO DE JANEIRO,RJ,BRASIL,SBRJ,2010-01-03,03:00:00,SIM,FINALIZADA,report number not informed,NÃO,2025-01-01,0,1,NÃO
3,39527,39527,39527,39527,39527,ACIDENTE,-13.1066666667,-55.9930555556,LUCAS DO RIO VERDE,MT,BRASIL,possible zulu group or uninformed aerodrome,2010-01-04,17:30:00,SIM,FINALIZADA,A-539/CENIPA/2018,SIM,2019-10-28,0,1,NÃO
4,40324,40324,40324,40324,40324,INCIDENTE,latitude not informed,longitude not informed,PELOTAS,RS,BRASIL,SBPK,2010-01-05,19:25:00,SIM,FINALIZADA,report number not informed,NÃO,2025-01-01,0,1,NÃO
5,39807,39807,39807,39807,39807,INCIDENTE,latitude not informed,longitude not informed,SALVADOR,BA,BRASIL,possible zulu group or uninformed aerodrome,2010-01-06,17:53:00,aircraft release not informed,investigation status not informed,report number not informed,NÃO,2025-01-01,0,1,NÃO
6,40215,40215,40215,40215,40215,INCIDENTE,latitude not informed,longitude not informed,COARI,AM,BRASIL,SBUY,2010-01-07,18:40:00,SIM,FINALIZADA,report number not informed,NÃO,2025-01-01,0,1,SIM
7,39707,39707,39707,39707,39707,INCIDENTE GRAVE,-6.5319444444,-64.3805555556,CANUTAMA,AM,BRASIL,possible zulu group or uninformed aerodrome,2010-01-09,12:30:00,SIM,FINALIZADA,IG-028/CENIPA/2011,SIM,2011-07-21,3,1,NÃO
8,39156,39156,39156,39156,39156,INCIDENTE GRAVE,-15.2402777778,-59.3541666667,CASCAVEL,PR,BRASIL,SBCA,2010-01-10,23:15:00,SIM,FINALIZADA,I-004/CENIPA/2011,SIM,2011-06-30,2,1,NÃO
9,39711,39711,39711,39711,39711,INCIDENTE GRAVE,latitude not informed,longitude not informed,PARÁ DE MINAS,MG,BRASIL,possible zulu group or uninformed aerodrome,2010-01-10,20:00:00,aircraft release not informed,investigation status not informed,report number not informed,NÃO,2025-01-01,0,1,NÃO
